Subject,Start Date,Start Time,End Date,End Time,Description,Location
Introduction to Computer Programming,2025-01-06,16:00,2025-01-06,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-01-13,16:00,2025-01-13,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-01-20,16:00,2025-01-20,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-01-27,16:00,2025-01-27,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-02-03,16:00,2025-02-03,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-02-10,16:00,2025-02-10,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-02-17,16:00,2025-02-17,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-02-24,16:00,2025-02-24,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-03-03,16:00,2025-03-03,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-03-10,16:00,2025-03-10,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
Introduction to Computer Programming,2025-03-17,16:00,2025-03-17,18:00,Course Code:CST8116|Section:341|Delivery:Lab|Professor:Rama Thavasinadar|Academic Penalty Withdrawal Date:2025-03-14,WB430, Woodroffe
